total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
0.208513,1.208513,1.999011,0.087787,3.845296,0.732615,20,1INCH,BLUR,both
1.997875,2.997875,1.507431,0.221855,2.186722,0.576408,283,1INCH,LUNC,both
2.319982,3.319982,1.443750,0.257355,2.122860,0.667698,340,AAVE,BIFI,both
2.514684,3.514684,1.476835,0.258521,2.288839,0.638972,316,AAVE,DODO,both
1.428821,2.428821,1.541197,0.173173,2.464033,0.649114,207,AAVE,PEPE,both
0.600778,1.600778,1.407287,0.249541,2.025197,0.638576,134,AAVE,WBETH,both
0.325012,1.325012,2.367348,0.159773,4.225300,2.018800,12,ACA,JTO,both
0.325992,1.325992,1.532505,0.244713,2.118969,1.360817,45,ACA,MEME,both
0.790644,1.790644,1.458232,0.200703,2.356156,0.697633,149,ACH,WLD,both
1.863498,2.863498,1.523277,0.310705,2.106353,0.576579,317,ADA,ACH,both
2.150650,3.150650,1.575997,0.221140,2.217283,0.597043,301,ADA,ALICE,both
2.179724,3.179724,1.493358,0.396597,2.094951,0.652079,334,ADA,BAND,both
0.366731,1.366731,1.948629,0.150064,4.007414,1.172828,28,ADA,BLUR,both
3.648284,4.648284,1.649556,0.305855,2.688821,0.648037,334,ADA,C98,both
2.299029,3.299029,1.542545,0.233661,2.280943,0.602540,308,ADA,CKB,both
2.882544,3.882544,1.636061,0.270686,2.397438,0.649960,331,ADA,DODO,both
2.214644,3.214644,1.588438,0.250826,2.248145,0.598116,291,ADA,ENJ,both
2.583819,3.583819,1.619415,0.207037,2.353964,0.620742,351,ADA,FARM,both
2.084973,3.084973,1.528546,0.249767,2.151402,0.642356,316,ADA,HIFI,both
2.459256,3.459256,1.594948,0.407208,2.279729,0.630794,288,ADA,KNC,both
1.978539,2.978539,1.512851,0.282713,2.045846,0.626820,289,ADA,LUNA,both
1.973510,2.973510,1.497739,0.297098,2.165368,0.582167,311,ADA,NKN,both
2.450899,3.450899,1.533882,0.301452,2.226431,0.649591,342,ADA,PERP,both
1.826335,2.826335,1.465669,0.283790,2.068494,0.584563,332,ADA,RAD,both
2.172480,3.172480,1.588152,0.218580,2.143653,0.628396,280,ADA,SLP,both
2.465558,3.465558,1.621896,0.318567,2.316889,0.615065,303,ADA,SPELL,both
1.893289,2.893289,1.463652,0.396662,2.014978,0.618876,338,ADA,TWT,both
1.961872,2.961872,1.513346,0.253829,2.221171,0.558828,301,ADA,UMA,both
2.711331,3.711331,1.552222,0.331880,2.415172,0.624461,322,ADA,UTK,both
0.537543,1.537543,1.420720,0.245288,2.001994,0.610248,139,ADA,WLD,both
2.302626,3.302626,1.577926,0.464096,2.276860,0.602513,322,ADA,XVG,both
0.078663,1.078663,1.779452,0.032319,3.522036,0.565256,15,ADX,JTO,both
0.003575,1.003575,1.491339,0.001638,3.036892,0.033164,12,AEUR,DIA,both
0.006828,1.006828,1.345413,0.009410,2.357818,0.066742,18,AEUR,RSR,both
0.010132,1.010132,1.588184,0.010907,3.437148,0.083318,15,AEUR,TRB,both
0.015912,1.015912,2.655344,0.004460,6.413919,0.060189,14,AEUR,USDC,both
51.155487,52.155487,2.143209,0.480786,3.594810,1.331405,308,AGLD,1INCH,both
5.552456,6.552456,1.467645,0.430103,2.106885,1.209969,362,AGLD,ACA,both
