trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile,passes_filter_1_drawdown,passes_filter_2_return,passes_filter_3_trades,passes_filter_4_statistical,passes_filter_5_2022,passes_all_filters
SAND,TRU,short,1.4679,0.0000,5.8727,-0.5070,-0.2656,307,1.6273,0.0000,True,True,True,True,True,True
SAND,ZRX,short,1.4651,0.0000,3.7922,-0.5243,-0.3270,233,1.6156,0.0000,True,False,True,True,False,False
SAND,KNC,short,1.3476,0.0000,2.9284,-0.6562,-0.3129,290,1.1904,0.0000,True,False,True,True,False,False
SAND,ONT,short,1.3177,0.0000,1.9395,-0.5158,-0.2603,232,1.2370,0.0000,True,False,True,True,True,False
SAND,YFI,short,1.3150,0.0000,1.6365,-0.4562,-0.1829,266,0.9618,0.0000,True,False,True,True,True,False
SAND,NEO,short,1.3124,0.0000,1.6573,-0.6464,-0.2445,224,1.0726,0.0000,True,False,True,True,True,False
SAND,IOST,short,1.2927,0.0000,1.3634,-0.6042,-0.2039,217,0.9516,0.0000,True,False,True,True,True,False
SAND,IOTX,short,1.2712,0.0000,1.5276,-0.5590,-0.2813,276,0.8086,0.0000,True,False,True,True,True,False
SAND,XRP,short,1.2621,0.0000,1.0528,-0.6015,-0.2733,255,0.5883,0.0000,True,False,True,True,True,False
SAND,TRX,short,1.2612,0.0000,1.3825,-0.7408,-0.2448,271,0.8454,0.4000,False,False,True,True,True,False
SAND,RIF,short,1.2592,0.0000,1.4728,-0.6057,-0.3253,325,0.7359,0.0000,True,False,True,True,False,False
SAND,LTC,short,1.2490,0.0000,1.3018,-0.7386,-0.1762,268,0.7647,0.4000,False,False,True,True,True,False
SAND,TROY,short,1.2480,0.0000,1.3325,-0.6596,-0.2414,312,0.7217,0.0000,True,False,True,True,True,False
SAND,SNX,short,1.2465,0.0000,1.2186,-0.5431,-0.3802,271,0.7650,0.0000,True,False,True,True,False,False
SAND,ONG,short,1.2463,0.0000,1.4691,-0.5975,-0.3572,303,0.8598,0.0000,True,False,True,True,False,False
SAND,SUN,short,1.2413,0.0000,1.5257,-0.5806,-0.2293,334,0.7994,0.0000,True,False,True,True,True,False
SAND,STRAX,short,1.2370,0.0000,1.2484,-0.6325,-0.4045,301,0.7272,0.0000,True,False,True,True,False,False
SAND,TRB,short,1.2341,0.0000,1.2316,-0.6950,-0.2601,305,0.6944,0.0000,True,False,True,True,True,False
SAND,ZEC,short,1.2324,0.0000,1.1289,-0.5730,-0.3762,284,0.6001,0.0000,True,False,True,True,False,False
SAND,XTZ,short,1.2182,0.0000,0.8803,-0.6204,-0.2391,255,0.6506,0.0000,True,False,True,True,True,False
SAND,MTL,short,1.1981,0.0000,0.7153,-0.7521,-0.3431,289,0.4765,0.4000,False,False,True,True,False,False
SAND,SKL,short,1.1912,0.0000,0.7224,-0.5494,-0.2726,269,0.4948,0.0000,True,False,True,True,True,False
SAND,KAVA,short,1.1829,0.0000,0.7642,-0.6762,-0.3606,304,0.5036,0.0000,True,False,True,True,False,False
SAND,RUNE,short,1.1694,0.0000,0.4702,-0.5392,-0.2763,275,0.3472,0.0000,True,False,True,True,True,False
SAND,SUSHI,short,1.1633,0.0000,0.2694,-0.7523,-0.2876,277,0.1892,0.4000,False,False,True,True,True,False
SAND,XLM,short,1.1586,0.0000,0.4490,-0.6452,-0.2196,251,0.3861,0.0000,True,False,True,True,True,False
